composition,956
Tc,732
compositions,722
Tg,569
structure,548
density,466
crystallinity,454
microstructure,428
morphology,406
compressive strength,329
α,319
BMG,301
porosity,288
a,281
metallic glass,280
activation energy,274
Young 's modulus,272
fracture surface,261
bioactive,252
viscosity,236
Compressive strength,236
refractive index,226
Microstructure,224
dielectric constant,214
b,206
hardness,199
Tm,197
pH,197
glass transition temperature,193
tensile strength,190
Structure,189
grain size,179
crystallization temperature,178
Particle size distribution,176
n,175
particle size,169
c,168
conductivity,162
flexural strength,157
Morphology,157
glass transition,152
d,151
magnetization,151
β,150
storage modulus,150
Density,147
A,145
G ',144
Δ,144
microstructures,141
